latitude,longitude,depth,mag
-39.4322,176.0322,47.62,4.4
-39.0612,175.9459,99.07,4.6
-38.5055,175.9244,167.76,4.5
-38.4319,175.8817,173.69,4.6
-38.779,175.7845,148.9,4.2
-38.5708,175.7773,186.75,4.1
-38.3508,176.088,147.25,4.1
-38.5545,175.9387,177.98,4.1
-38.7973,175.7034,4.62,4.6
-38.4062,176.2327,190.08,4
-38.5799,175.9164,187.05,4.5
-38.4861,176.0231,169.41,4.1
-38.3492,175.8746,169.6,4.6
-38.9338,175.7713,105.52,4.5
-38.68,175.82,103,4.4
-38.6363,176.5955,112.76,4.9
-38.8319,176.3535,86.17,4.3
-38.9789,176.2182,90.96,4.5
-38.7845,176.0855,122.4,4.3
-38.7271,176.1609,155.33,4.1
-38.84,175.93,105,4.5
-38.5632,176.4434,123.16,5.1
-38.53,175.8,194,4.5
-38.437,175.89,205.74,4.1
-39.104,176.067,74.3,4
-38.423,176.092,199.8,4
-38.829,175.936,107.5,4
-38.331,175.915,230.2,4.4
-38.346,176.113,206.3,4.1
-38.999,176.003,77,4.7
-38.597,175.68,247.7,4.2
-38.834,176.226,118.5,4.5
-38.428,176.067,163,6.3
-38.858,176.112,107.7,4.9
-38.639,176.167,110.5,5.6
-38.311,175.99,195.1,4.9
-38.491,175.808,172,4.2
-39.068,175.807,90.8,5.3
-38.453,175.821,180.8,4
-38.727,176.301,81,4.3
-38.556,175.805,150.1,5
-39.121,176.309,78.5,4.1
-38.48,176.208,104.7,4.7
-38.577,175.686,184.6,4.8
-38.6,176.475,98.9,4.9
-38.561,175.934,140.6,4
-38.51,176.159,112.8,4.6
-38.654,175.691,157.7,4.4
-38.593,175.787,154.3,4.1
-38.312,175.95,175.9,4.5
-38.929,175.651,108.3,5.2
-38.523,176.513,78.7,4.3
-38.507,175.766,156.9,4.1
-38.701,176.047,110.3,4.3
-38.344,175.866,160.3,4.6
-38.674,175.75,152.3,5.5
-38.471,176.004,152.1,4.2
-38.617,176.224,2.4,4.7
-38.447,175.852,181.2,4.1
-38.951,176.199,79.9,4.1
-38.778,175.914,122.2,4.6
-38.482,175.756,180.6,4.7
-38.502,175.996,158.1,5.6
-38.845,176.021,101,4.2
-38.633,175.52,171.8,4.2
-38.642,175.738,150.6,4
-38.357,176.112,149.4,4.3
-38.887,175.861,4.5,4
-39.146,175.829,121.1,4.4
-38.835,175.891,126.5,4
-38.873,175.835,116.5,4.3
-38.454,175.873,164.9,4
-38.86,176.462,63.7,4.1
-38.566,175.784,153.6,4
-38.78,175.647,115.6,4.6
-39.094,176.237,64.7,4.5
-38.706,175.782,111.6,4
-38.469,175.818,171.1,4
-38.443,175.921,160,4.1
-38.37,176.04,173.4,4
-38.776,175.701,119.1,4
-38.992,176.23,81,4.2
-38.566,175.649,169.9,4
-38.468,175.875,162,4.6
-38.442,175.68,194.3,4
-38.601,175.54,180.2,4
-38.63,175.816,168.7,4.3
-38.921,175.74,3.2,4.4
-38.96,175.738,2.7,4
-38.963,175.74,3.3,3.5
-39.044,175.722,6.2,3.8
-38.522,175.998,154.1,4.3
-38.298,175.997,163.4,4.6
-38.533,175.75,170.8,4.1
-38.626,176.613,68.8,4.5
-38.324,175.886,176.9,4.3
-39.178,176.079,85.3,4
-38.741,175.729,143.1,4.4
-38.673,175.924,119.6,3.6
-39.082,176.272,88.3,4.5
-38.832,175.995,5,4.3
-38.809,175.87,5,4.4
-38.61,175.92,154,4.1
-39.105,175.894,50.9,5.2
-38.76,175.93,130,3.8
-38.68,175.75,171,3.8
-38.37,176,177,4.7
-38.57,175.72,183,3.8
-38.48,175.83,174,3.7
-38.55,175.97,135,4.6
-38.66,175.72,149,3.9
-38.87,176.03,110,4.4
-38.6,175.92,119,4
-39.06,175.75,116,3.8
-38.396,175.877,175.1,3.9
-38.62,175.72,162,4
-38.51,176.19,133,3.8
-38.33,175.98,183,3.7
-38.52,175.82,158,3.9
-38.4,176.2,143,4.4
-38.69,175.95,114,3.9
-38.84,176.35,84,4
-38.78,176.3,80,5
-38.95,175.67,117,5.2
-38.32,175.97,171,3.9
-38.94,175.8,101,4.3
-38.37,175.88,159,4.3
-38.43,175.91,142,4.9
-38.41,175.97,148,4.3
-38.39,175.84,154,4
-38.53,175.8,164,3.8
-38.95,175.94,5,4.5
-38.43,175.95,156,4.5
-38.45,175.95,167,4.3
-38.56,175.76,156,4.5
-38.36,175.99,174,4.2
-38.38,176.01,159,4
-38.38,175.77,171,4
-38.33,176.02,163,4.1
-38.43,175.88,165,4.4
-38.58,175.78,158,4
-38.34,176.1,167,3.7
-38.53,176.12,136,3.8
-38.73,176.19,98,4.9
-38.69,175.8,136,3.8
-38.3,176.05,166,4
-38.6,175.7,147,3.7
-38.51,175.9,151,4
-38.3,176.17,165,4.3
-38.35,175.9,212,3.7
-38.79,175.85,128,3.7
-38.525,175.8,172.2,4.2
-38.52,175.94,173,3.9
-38.72,175.89,124,4.3
-38.37,175.92,204,3.9
-38.51,175.91,156,3.7
-38.67,175.77,149,4.1
-38.45,175.98,145,3.8
-38.36,176.11,158,3.9
-38.58,175.77,174,3.8
-38.91,175.82,3,3.8
-38.59,175.74,167,3.8
-38.64,175.65,156,3.9
-38.42,175.84,164,4.2
-38.69,176.47,100,4.1
-38.51,175.96,149,3.8
-38.47,175.89,169,4.2
-38.57,175.81,159,4.3
-38.39,176.09,169,3.9
-38.89,175.97,88,3.9
-38.46,175.89,157,3.7
-38.429,175.97,170.6,4.2
-38.53,175.86,152,4.5
-38.46,175.8,178,3.8
-38.41,175.96,159,3.8
-38.612,175.775,152.4,4
-38.38,176.01,173,3.9
-38.747,175.757,116.2,4.4
-38.45,176.04,169,4.5
-38.62,175.77,148,3.8
-38.49,175.76,146,4.1
-38.53,175.83,168,3.7
-38.46,176.14,138,3.8
-38.58,175.74,163,4.5
-38.59,175.8,151,4
-38.6,175.75,163,4
-38.59,175.88,157,3.7
-38.45,175.97,128,3.8
-38.53,175.81,187,4.2
-38.52,175.91,149,3.8
-38.59,175.98,173,4.3
-38.93,175.96,117,3.7
-38.57,175.8,186,4.3
-38.73,176.01,115,3.9
-38.35,176.21,137,3.7
-38.74,176.12,101,3.8
-38.57,176.13,109,4.1
-38.46,175.71,153,3.9
-38.47,175.86,149,3.8
-38.54,175.84,171,5.2
-38.4,175.87,211,4
-38.66,175.76,160,3.7
-38.33,175.95,182,3.8
-38.47,175.76,153,3.8
-38.57,175.96,145,3.8
-38.88,176.22,86,3.8
-38.31,176.16,164,3.7
-38.31,176.06,164,3.8
-38.31,176.14,144,3.9
-39.02,176.2,69,4
-38.714,175.798,164.5,4.1
-38.51,175.87,169,4.8
-38.59,175.91,161,3.9
-38.5,175.96,159,4
-38.37,176.05,158,3.7
-38.93,176.33,63,3.7
-38.39,175.9,145,4
-38.42,176.01,166,0
-38.61,175.666,183,4
-38.43,176.02,163,4
-39.01,175.96,98,3.8
-38.6,175.88,164,3.6
-38.42,175.93,163,3.9
-38.78,175.71,179,3.8
-38.67,175.84,138,3.9
-38.32,175.94,183,3.8
-38.43,176.3,123,3.9
-38.47,175.95,185,4.3
-38.54,175.84,163,3.9
-38.36,176.04,158,5.3
-38.6,175.78,138,4
-38.73,175.85,128,4
-38.49,175.85,151,3.8
-38.48,175.88,166,4
-38.75,176.19,86,3.8
-38.54,176.22,128,3.8
-38.76,176.02,128,3.7
-38.57,175.8,168,4.7
-38.31,176.04,170,3.8
-38.65,175.83,157,4.1
-38.43,175.85,193,4.8
-38.74,176.12,132,3.7
-38.48,176.36,98,3.9
-38.4,176.16,161,3.8
-38.35,176.21,151,4
-39.01,176.06,85,4.5
-38.54,175.79,186,4.3
-38.74,175.72,117,4.1
-38.58,175.85,148,4
-38.65,175.84,141,3.9
-38.36,175.91,192,4.2
-38.37,175.97,159,4.1
-38.59,175.74,168,3.8
-38.6,175.87,150,3.7
-38.34,176.03,169,4.2
-38.62,175.56,166,3.9
-38.66,175.88,143,3.9
-38.4,176.18,147,4.1
-38.45,175.97,165,3.9
-38.39,176,165,3.9
-38.73,175.75,151,4.7
-38.58,175.76,160,3.8
-38.56,176.2,109,3.7
-38.51,175.79,165,3.9
-38.37,175.98,196,3.8
-38.55,175.76,147,3.8
-38.45,175.89,173,4.2
-38.85,175.85,109,4.1
-38.39,175.95,166,4.2
-38.41,175.94,194,3.8
-38.3,176.12,161,3.9
-38.41,176.07,150,3.5
-38.54,175.93,203,3.9
-38.33,175.85,176,3.7
-38.57,175.73,181,3.9
-38.63,175.67,170,4
-38.91,175.99,2,4.5
-38.78,175.8,137,3.9
-38.58,175.76,162,3.9
-38.63,175.66,173,3.8
-38.49,175.87,165,4
-38.69,176.15,101,3.8
-38.66,175.63,175,4
-38.55,175.77,153,4
-38.36,175.87,178,4.1
-39.05,176.08,77,3.8
-38.48,175.79,191,3.7
-38.34,176.07,153,3.8
-38.34,175.95,175,4.2
-38.61,175.91,153,3.8
-38.98,176.11,78,3.9
-38.38,176.06,164,0
-38.39,176.01,155,0
-38.6,175.83,150,0
-38.48,175.9,156,0
-38.44,175.84,153,0
-38.51,175.93,176,0
-38.3,176.02,170,0
-39.06,176.04,74,3.7
-38.37,176,157,0
-38.55,175.89,163,0
-38.53,175.91,151,0
-38.71,176.35,98,4.2
-38.55,175.84,162,0
-38.49,175.95,150,0
-38.33,175.93,176,4.6
-38.31,176.05,152,0
-38.63,175.62,171,0
-38.62,175.82,170,0
-38.42,175.93,215,0
-38.58,176.14,113,0
-38.35,175.86,212,0
-39.04,176.14,84,4.2
-38.48,176.01,133,0
-38.39,175.99,167,3.9
-38.62,175.89,136,0
-38.38,176.13,155,0
-38.33,176.1,281,0
-38.6,175.78,154,0
-38.61,175.78,161,0
-38.61,175.66,178,0
-38.34,176.27,147,0
-38.41,176.08,148,0
-38.5,175.89,165,0
-38.45,176.09,160,0
-38.9,175.81,5,3.8
-38.43,175.97,168,0
-38.73,175.83,139,0
-38.42,176.09,170,0
-38.52,175.95,159,0
-38.53,175.87,179,0
-38.45,175.84,217,0
-38.47,176.15,108,0
-38.42,176.08,154,0
-38.55,175.8,146,0
-38.39,175.99,182,0
-39.17,176.12,87,4.1
-38.46,176.18,116,0
-38.65,175.79,154,0
-38.44,175.93,155,0
-38.4,175.91,198,0
-38.55,175.74,199,0
-38.65,176.05,131,0
-38.7,175.72,169,0
-38.58,175.97,125,0
-38.62,175.88,152,0
-38.55,175.92,166,0
-38.48,175.66,186,0
-38.5,175.8,183,0
-38.62,175.98,140,0
-38.41,176.12,157,0
-38.56,176.35,171,0
-38.77,176.01,166,0
-38.39,176.18,128,0
-38.35,175.97,180,0
-38.38,176.22,156,0
-38.49,176.04,181,0
-38.3,176.05,140,0
-38.86,175.52,214,0
-38.32,176.05,181,0
-38.47,176.01,190,0
-39.03,176.33,90,3.8
-38.31,176.2,155,0
-38.44,176,154,0
-38.37,176.09,178,0
-38.74,175.86,116,0
-38.43,176.06,159,0
-38.54,175.95,145,0
-38.34,176.11,171,0
-38.48,175.65,225,0
-38.44,176.24,104,0
-38.7,176.27,105,0
-38.77,176.02,121,0
-38.34,175.95,218,0
-38.74,176.1,123,4.2
-38.58,175.77,148,0
-38.4,176,176,0
-38.64,176.23,113,0
-38.66,175.82,120,0
-38.41,176.06,145,0
-38.42,175.95,140,0
-38.51,175.89,160,0
-38.38,175.78,226,0
-39.17,175.99,65,3.5
-38.41,176,163,0
-38.735,175.76,144,4
-39.01,176.09,69,4
-38.88,175.89,5,3.8
-38.57,175.75,151,0
-38.45,176.31,108,0
-38.73,176.02,96,3.7
-38.35,175.93,160,0
-38.53,175.88,183,0
-38.68,175.79,134,0
-38.5,176.32,125,0
-38.41,176.15,147,0
-38.38,175.93,134,0
-38.37,175.8,151,null
-38.55,175.9,145,null
-38.38,176.13,144,null
-38.35,175.9,160,null
-38.93,176,109,null
-38.33,175.92,157,null
-38.4,176.07,178,null
-38.54,175.85,153,null
-38.71,176.01,115,4.9
-38.58,175.94,165,null
-39.1,176.29,55,4
-38.47,175.87,166,null
-38.57,175.96,210,null
-38.56,175.89,143,null
-38.7,176.08,259,null
-38.47,176.26,98,4
-38.57,175.9,174,null
-38.36,176.37,127,null
-38.79,175.99,101,null
-38.52,175.99,166,null
-38.83,175.8,114,4.9
-38.65,175.61,179,null
-38.54,175.84,186,null
-38.63,175.85,142,null
-39.12,176.09,69,4.5
-38.31,175.97,163,null
-38.64,176.08,93,3.8
-38.6,176.25,200,null
-38.77,176.23,99,4.2
-38.4,175.96,175,null
-38.3,176.05,163,null
-38.38,175.96,180,null
-38.45,176.06,162,null
-38.32,176,155,null
-38.35,176.23,141,null
-38.6,176.04,137,null
-38.73,176.4,161,null
-38.32,175.87,192,null
-38.53,175.9,145,null
-38.58,176.5,163,null
-38.35,175.94,123,null
-38.5,175.89,158,null
-38.54,175.61,168,null
-38.97,176.12,83,3.8
-38.62,175.83,137,null
-38.41,175.69,162,null
-38.83,176.21,158,null
-38.46,175.87,145,null
-38.4,175.88,115,null
-38.35,176.1,148,null
-38.32,176.17,134,null
-38.36,175.94,182,null
-38.55,175.82,147,null
-38.56,175.79,163,null
-38.37,175.96,162,null
-39.01,175.63,115,null
-38.74,175.85,131,null
-38.48,175.9,153,null
-38.56,175.93,158,null
-38.47,175.86,136,null
-38.43,176.22,125,null
-38.58,176.01,143,null
-38.49,176.07,146,null
-38.88,176.22,82,4.8
-38.82,175.89,5,4.3
-38.83,175.84,5,4.2
-38.56,175.59,237,null
-38.81,175.94,125,null
-38.87,175.89,9,3.9
-38.37,175.96,183,null
-38.42,175.92,164,null
-38.72,176.31,128,null
-38.44,176,169,null
-38.87,175.63,5,4
-38.48,175.62,209,null
-38.85,176.04,87,3.8
-38.84,176.06,178,null
-38.55,175.65,162,null
-38.7,175.91,129,null
-38.59,175.89,176,null
-38.54,175.91,201,null
-38.54,175.78,154,null
-38.59,175.89,293,null
-38.58,176.21,102,null
-38.56,175.88,146,null
-38.55,175.96,141,null
-38.49,175.63,244,null
-38.66,176.06,198,null
-38.38,176.09,154,null
-38.44,175.9,168,null
-38.35,175.97,176,null
-38.53,175.98,150,null
-38.614,175.67,169.5,3.9
-38.77,175.79,128,null
-38.7,175.85,131,null
-38.38,176.03,138,null
-38.63,175.84,151,null
-38.5,175.93,117,null
-38.45,175.86,139,null
-38.77,175.72,130,null
-38.51,176.3,200,null
-38.52,175.73,209,null
-38.32,176.28,291,null
-38.8,175.56,178,null
-38.56,176.2,107,null
-38.6,176.14,104,null
-38.84,175.89,189,null
-38.48,175.75,125,null
-38.5,175.78,155,null
-38.71,176.2,190,null
-38.43,175.96,149,null
-38.54,175.95,149,null
-38.47,175.84,172,null
-38.44,176.13,154,null
-38.68,176.13,142,null
-38.63,175.63,135,null
-38.81,175.78,137,null
-38.65,175.7,143,null
-38.56,176.06,153,null
-38.44,176.43,210,null
-38.68,175.69,170,null
-38.71,176,175,null
-38.51,175.96,194,null
-38.35,176.1,310,null
-38.33,176.17,155,null
-38.79,175.67,166,null
-38.52,175.7,163,null
-38.8,175.98,120,null
-38.67,176.01,110,null
-38.7,175.88,166,null
-38.77,176.24,82,3.8
-38.62,175.89,158,4.5
-38.9,176,11,2.5
-38.62,175.7,211,null
-38.55,176.18,166,null
-38.63,176.19,5,2.6
-38.45,176.13,185,null
-39.02,176.06,120,null
-38.62,175.61,220,null
-38.59,176.22,170,null
-38.78,176.55,12,2.7
-39.06,175.78,5,2.9
-38.65,175.74,183,null
-38.95,175.94,112,null
-38.84,175.96,13,2.3
-38.91,175.88,5,2.6
-38.6,175.97,5,2.8
-38.73,176.15,167,null
-38.59,175.98,7,2.6
-38.6,175.98,8,2.7
-38.6,175.96,5,3.2
